Date,Pluckers,Field Wght,Factory W,Variance,Average,Rainfall,Running totals,Unnamed: 8,Factory W MA7,Daily Change %
2019-09-05 00:00:00,32,1633.0,1750.0,133.0,47.0,0.0,7405.0,0.0,1282.142857142857,39.99999999999999
2019-09-06 00:00:00,49,1617.0,1825.0,208.0,37.0,0.0,9230.0,0.0,1438.5714285714287,4.285714285714293
2019-09-07 00:00:00,48,1353.0,1560.0,207.0,33.0,1.0,10790.0,0.0,1541.4285714285713,-14.520547945205475
2019-09-08 00:00:00,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1541.4285714285713,-100.0
2019-09-09 00:00:00,46,1336.0,1480.0,144.0,32.0,0.0,12270.0,0.0,1419.2857142857142,inf
2019-09-10 00:00:00,36,1837.0,2000.0,163.0,55.0,3.0,14270.0,0.0,1409.2857142857142,35.13513513513513
2019-09-11 00:00:00,41,1935.0,2085.0,150.0,51.0,0.0,16355.0,0.0,1528.5714285714287,4.249999999999998
2019-09-12 00:00:00,50,1637.0,1845.0,208.0,37.0,0.0,18200.0,0.0,1542.142857142857,-11.51079136690647
2019-09-13 00:00:00,38,1068.0,1190.0,122.0,31.0,0.0,19390.0,0.0,1451.4285714285713,-35.50135501355014
2019-09-14 00:00:00,34,1032.0,1150.0,118.0,34.0,0.0,20540.0,0.0,1392.857142857143,-3.361344537815125
2019-09-15 00:00:00,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1392.857142857143,-100.0
2019-09-16 00:00:00,42,1855.0,2015.0,160.0,48.0,0.0,22555.0,0.0,1469.2857142857142,inf
2019-09-17 00:00:00,50,1951.0,2140.0,184.0,43.0,0.0,24695.0,0.0,1489.2857142857142,6.203473945409432
2019-09-18 00:00:00,44,924.0,1105.0,181.0,22.0,6.0,25800.0,0.0,1349.2857142857142,-48.36448598130841
2019-09-19 00:00:00,49,1362.0,1590.0,228.0,32.0,0.0,27390.0,0.0,1312.857142857143,43.89140271493213
2019-09-20 00:00:00,42,1276.0,1480.0,204.0,35.0,0.0,28870.0,0.0,1354.2857142857142,-6.91823899371069
2019-09-21 00:00:00,40,1062.0,1160.0,98.0,29.0,0.0,30030.0,0.0,1355.7142857142858,-21.62162162162162
